Domain,Have_IP,Have_@,URL_Length,URL_Depth,Redirection,https_Domain,Prefix/Suffix,Domain_Age,Domain_End,Web_Traffic,iFrame,Status_Bar,Right_Click,Web_Forwards,Label
tptelecom.it,0,0,1,6,0,0,0,0,1,0,1,0,1,0,1
houseoftiresbcs.com,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1
funetwork.tv,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1
paypal.ping0n.vip,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
b.link,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
livestudentccc-my.sharepoint.com,0,0,1,5,0,0,1,0,0,0,1,0,1,0,1
tsdesignstudio.net,0,0,1,4,0,0,0,0,1,0,0,1,1,1,1
balitransithotel.com,0,0,1,7,0,0,0,0,0,0,1,0,1,0,1
ebay.de.phodo.vn,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1
maersklinesllc.dx.am,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
weddenoptennis.be,0,0,1,3,0,0,0,0,0,0,1,0,1,0,1
hideuri.com,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
donslan.com,0,0,1,6,0,0,0,0,0,0,1,0,1,0,1
posb-ibanking-demo.herokuapp.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
stanshoes.com.ng,0,0,1,2,0,0,0,0,1,1,0,1,1,1,1
webfiddle.net,0,0,1,4,0,0,0,0,0,0,1,0,1,0,1
fluteguards.nn.r.appspot.com,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
lowcy-nagrod.pl,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
jaggaauto.com,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1
3jba.com,0,0,1,8,0,0,0,0,0,0,1,0,1,0,1
celsahiinc.000webhostapp.com,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1
recovery-support.u718573rwk.ha004.t.justns.ru,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
akilili.com,0,0,1,4,0,0,0,0,0,1,1,0,1,0,1
e-grupobancolombia.com.co,0,0,1,2,0,0,0,0,1,0,0,1,1,1,1
bcpzonasegurabeta.viabcp.com.entrepreneur.pe,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
csgoxskin.com,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1
bnkrealestate.com,0,0,1,4,0,0,0,0,0,0,1,0,1,0,1
fareast.qa,0,0,1,3,0,0,0,1,1,1,1,0,1,0,1
dataforce.co.uk,0,1,1,5,0,0,0,0,0,0,1,0,1,0,1
53.com-id9533371.thoughtoholics.net,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1
sixpointpartners-my.sharepoint.com,0,0,1,5,0,0,1,0,0,0,1,0,1,0,1
profinishmi.com,0,1,1,4,0,0,0,0,0,0,1,0,1,0,1
groupabamcolombiaweb.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
solutionschiro.net,0,0,1,4,0,0,0,0,0,1,1,0,1,0,1
fareast.qa,0,0,1,3,0,0,0,0,1,0,0,0,1,0,1
vcita.com,0,0,1,5,0,0,0,0,0,1,1,0,1,0,1
t.co,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1
art-sticker.fr,0,0,1,5,0,0,0,0,0,0,0,0,1,0,1
planwise.co.za,0,0,1,7,0,0,0,0,0,0,1,0,1,0,1
netflixloginhelp.com,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,1,0,1,0,1,0,1
stress-depression-therapy.com,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
ye4.hislult.com,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1
mackinn.com,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
playarprint.com,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1
helife.ru,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
c1781279.ferozo.com,0,0,1,5,0,0,0,0,1,0,1,1,1,1,1
rusnod.ru,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,1,0,1,0,1,0,1
iscbankofamerica.net,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
viveromonteverde.com,0,0,1,3,0,0,0,0,0,1,1,0,1,0,1
halestelevision.co.uk,0,0,1,4,0,0,0,0,0,0,1,0,1,0,1
heryerdenoyna.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
stolizaparketa.ru,0,0,1,7,0,0,0,0,0,1,1,0,1,0,1
currosat.com,0,0,1,4,0,0,1,0,0,0,1,0,1,0,1
asabagreen.com,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1
kaizenpak.com,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
fotoblad.com,0,0,1,4,0,0,0,0,0,0,1,0,1,0,1
wonderpillars.in,0,0,0,3,0,0,0,0,0,1,1,0,1,0,1
gwisalltrack.com,0,0,1,2,0,0,0,0,0,1,1,0,1,0,1
imagephoto-video.com,0,0,1,5,0,0,0,0,0,1,1,0,1,0,1
decaturilbgc.com,0,0,1,8,0,0,0,0,0,0,1,1,1,0,1
saldao-de-mes-das-maes.com,0,0,1,2,0,0,0,0,1,0,1,1,1,1,1
zbavit.live,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
dbs.rewardgateway.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,1,0,1,1,0,1,0,1
dipelnet.com.br,0,0,1,4,0,0,1,0,0,0,0,0,1,0,1
drjbsclinic.com,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1
fislasdelrosario.org,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
storage.googleapis.com,0,1,1,3,0,0,1,0,0,1,1,0,1,0,1
psicoinspire.com.br,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
betasuus1.blogspot.com,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
lmsanimation.com,0,0,1,3,0,0,0,0,0,1,1,0,1,0,1
three.co.uk.session-id-jnwij293i8977dsn55688hga8669nd194jaj0ap889.dashbuy.rw,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,1,0,0,0,1,0,1
disq.us,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
quickzone53.com,0,0,1,3,0,0,0,0,1,0,1,1,1,1,1
stolizaparketa.ru,0,1,1,7,0,0,0,0,0,1,1,0,1,0,1
teat09.com,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
kanakapolymers.com,0,0,1,5,0,0,0,0,0,1,1,0,1,0,1
pnrm.jp,0,0,1,11,0,0,0,0,0,0,1,0,1,0,1
surveyheart.com,0,0,1,2,0,0,1,0,0,1,1,0,1,0,1
securesquared.co.uk,0,0,1,4,0,0,0,0,0,0,1,0,1,0,1
a-onetraders.com,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
cruzsantiagoverta.com,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1
lankeshpatrike.com,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
turkmcse.com,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
servparaferro.com.br,0,0,1,6,0,0,0,0,0,1,1,0,1,0,1
paypal-rimborso.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
ethioab.com,0,0,1,5,0,0,0,0,0,0,1,0,1,0,1
orgogenlabs.com,0,0,1,6,0,0,0,0,0,0,1,0,1,0,1
wisegeek.com,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
kinemind.com,0,0,1,6,0,0,0,0,0,0,1,0,1,0,1
kbagro.co.th,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
wezcollege.edu.pe,0,0,1,3,0,0,0,1,0,1,1,0,1,0,1
wdestaques14.comprehojeegarante.com,0,0,1,5,0,0,0,0,0,0,1,0,1,0,1
googlefoundation.somee.com,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
s.id,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
personalpiscinas.net.br,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
tmjdiscountbooks.com,0,0,1,3,0,0,0,0,0,0,1,0,1,0,1
sparkpassedecom.com,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1
umij.org,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1
peru.payulatam.com,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1
coloradopoolcovers.com,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
revente-materiel.com,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
hitekscaffolding.co.uk,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1
cutt.ly,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
projecthal.info,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,0,1,0,1
csgohoned.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
prettanike.com,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
playarprint.com,0,0,1,2,0,0,1,0,0,1,1,0,1,0,1
haileydemarrephotography.com,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
ftp.kreijkesafbouw.nl,0,0,1,2,0,0,0,0,0,1,1,0,1,0,1
adleer-ad.com,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
nandiy.net,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1
lender.testing.santander.poweredbydivido.com:443,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1
pdfgusdf.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
trydent.org,0,0,1,6,0,0,0,0,0,0,0,0,1,1,1
advonationusa.com,0,0,1,5,0,0,0,0,0,0,0,0,1,0,1
izzylogz.nn.r.appspot.com,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1
midyatmimaritas.com,0,0,1,5,0,0,0,0,0,0,0,0,1,0,1
services.runescape.com-mx.ru,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
918621521.live,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1
decifra.com.br,0,0,1,3,0,0,0,0,0,1,1,0,1,0,1
m5wx.com,0,0,1,6,0,0,1,0,0,0,1,0,1,0,1
u718633rwt.ha004.t.justns.ru,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
desbloqueio-online.com,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
lntrealtly-seawoods.co.in,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
bgmedia.at,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
snoweco.com,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
ruasepicas.pt,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1
showmore.a3579.com,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
bradisk.joomla.com,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1
grupwhatsappadult.zyns.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
greenpoint.art.br,0,0,1,3,0,0,0,0,0,1,1,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,0,1,0,1
theoutlet66mall.com,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1
icipedudu-my.sharepoint.com,0,0,1,7,0,0,1,0,0,1,1,0,1,0,1
pay-pai-securty-verifyi-accunt-cmd.agr.ng,0,0,1,2,0,0,0,1,0,1,1,0,1,0,1
ou-parvenec.com,0,1,1,4,0,0,0,0,0,1,0,0,1,0,1
atefnet.com,0,0,1,4,0,0,1,0,0,0,0,0,1,0,1
johnbarclay.ca,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1
tsuzuki.co.id,0,0,0,4,0,0,0,0,0,0,1,0,1,0,1
db.mailtrackpro.com,0,0,1,3,0,0,0,0,0,0,1,0,1,0,1
online-microsofts.dns.navy,0,0,0,2,0,0,0,1,0,1,1,0,1,0,1
payment-isuessglobal.doncasterservicecentre.com.au,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1
artg.placeof.space,0,0,1,10,0,0,0,1,0,1,1,0,1,0,1
alaskanmalamute.us,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1
gabergamez.cloudaccess.host,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1
envirodrilling.com,0,0,1,5,0,0,0,0,0,1,1,0,1,0,1
redeabreu.com.br,0,0,1,4,0,0,0,0,0,1,1,0,1,0,1
docs.google.com,0,0,1,7,0,0,0,0,0,1,1,0,1,0,1
accountsnat-west.com,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
wuarface.ru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
grupdewasa18.whatsappp.my.id,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
dhlaexpdeliver.com,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
j-noordeloos-regenesis-therapeut.nl,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
vkotankte.hop.ru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
summa.cash.,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
linea1s.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
kukubun.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,1
yougotcustomers.in,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1
lawyer.theappideas.in,0,0,1,7,0,0,0,0,0,0,1,0,1,0,1
restaurantelabarquita.com,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1
olampicoer.blogspot.com,0,0,0,3,0,0,1,1,0,1,1,0,1,0,1
blubrown.com,0,0,1,5,0,0,0,0,0,0,1,0,1,0,1
w3stco.com,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
caspianglobalservices.com,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,0,1,0,1
oaep.diw.go.th,0,0,1,6,0,0,0,0,0,1,1,0,1,0,1
verified-paxful.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,0,1,0,1
accurate-engineers.in,0,0,1,3,0,0,0,0,0,0,1,0,1,0,1
deshstore.com,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1
coxadminhometeam.moonfruit.com,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
67.211.218.74,1,0,0,3,0,0,0,0,0,0,1,0,1,0,1
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,1,0,0,0,1,0,1
35.188.36.185,1,0,1,4,0,0,0,0,0,1,1,0,1,0,1
vanillacheckcard.com,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
distrokid.email,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
whatsapp-join.zyns.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
wellingtoncloud-my.sharepoint.com,0,0,1,5,0,0,1,0,0,1,1,0,1,0,1
arturana.com,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1
greenpoint.art.br,0,0,1,3,0,0,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,1,1,1,0,0,1,0,1
theoutlet66mall.com,0,1,1,3,0,0,0,0,0,1,0,0,1,0,1
icipedudu-my.sharepoint.com,0,0,1,7,0,0,1,1,1,0,0,0,1,0,1
pay-pai-securty-verifyi-accunt-cmd.agr.ng,0,0,1,2,0,0,1,1,1,0,0,0,1,0,1
ou-parvenec.com,0,1,1,4,0,0,1,1,0,1,0,0,1,0,1
atefnet.com,0,0,1,4,0,0,0,0,0,1,0,0,1,0,1
johnbarclay.ca,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1
tsuzuki.co.id,0,0,0,4,0,0,0,0,1,1,0,0,1,0,1
db.mailtrackpro.com,0,0,1,3,0,0,0,0,1,0,0,0,1,0,1
online-microsofts.dns.navy,0,0,0,2,0,0,1,1,1,0,0,0,1,0,1
payment-isuessglobal.doncasterservicecentre.com.au,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1
artg.placeof.space,0,0,1,10,0,0,0,1,1,1,0,0,1,0,1
alaskanmalamute.us,0,0,1,2,0,0,0,0,1,1,0,0,1,0,1
gabergamez.cloudaccess.host,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1
envirodrilling.com,0,0,1,5,0,0,0,1,1,0,0,0,1,0,1
redeabreu.com.br,0,0,1,4,0,0,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,7,0,0,0,1,1,1,0,0,1,0,1
accountsnat-west.com,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
wuarface.ru,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
grupdewasa18.whatsappp.my.id,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
dhlaexpdeliver.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
j-noordeloos-regenesis-therapeut.nl,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1
vkotankte.hop.ru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
summa.cash.,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
linea1s.com,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
kukubun.com,0,0,0,3,0,0,0,1,1,1,0,0,1,0,1
yougotcustomers.in,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1
lawyer.theappideas.in,0,0,1,7,0,0,0,0,1,1,0,0,1,0,1
restaurantelabarquita.com,0,1,1,2,0,0,0,0,0,1,0,0,1,0,1
olampicoer.blogspot.com,0,0,0,3,0,0,0,1,1,1,0,0,1,0,1
blubrown.com,0,0,1,5,0,0,0,0,1,1,0,0,1,0,1
w3stco.com,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
caspianglobalservices.com,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,1,1,1,0,0,1,0,1
oaep.diw.go.th,0,0,1,6,0,0,0,1,1,0,0,0,1,0,1
verified-paxful.com,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,1,1,1,0,0,1,0,1
accurate-engineers.in,0,0,1,3,0,0,1,0,1,1,0,0,1,0,1
deshstore.com,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1
coxadminhometeam.moonfruit.com,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
67.211.218.74,1,0,0,3,0,0,0,0,1,1,0,0,1,0,1
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,0,1,1,0,1,0,1
35.188.36.185,1,0,1,4,0,0,0,1,1,1,0,0,1,0,1
vanillacheckcard.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
distrokid.email,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
whatsapp-join.zyns.com,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
wellingtoncloud-my.sharepoint.com,0,0,1,5,0,0,1,1,1,1,0,0,1,0,1
arturana.com,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1
kaizenpak.com,0,0,1,6,0,0,0,0,0,1,0,0,1,0,1
wdestaques11.em-qualquer-lugar.shop,0,0,1,5,0,0,1,1,1,1,1,1,1,1,1
de2f.totalh.net,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
khoutiboxer.com,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
firebasestorage.googleapis.com,0,1,1,5,0,0,0,1,1,1,0,0,1,0,1
storage.googleapis.com,0,1,1,3,0,0,0,1,1,1,0,0,1,0,1
po.do,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
megeofhedt.com,0,0,0,2,0,0,0,1,1,1,0,0,1,0,1
caixa.gov.informativo.cx,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
oilsmarketingmastery.xyz,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
yoho.com.tw,0,0,1,4,0,0,0,0,1,0,0,0,1,1,1
primaci.org,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1
sriutamahub.com,0,0,1,2,0,0,0,0,1,1,0,0,1,0,1
itsallaboutthetubmans.com,0,0,1,2,0,0,0,0,1,1,0,0,1,0,1
alergiaalpolen.com,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1
cobrodesa.com,0,0,1,3,0,0,0,0,1,1,0,0,1,0,1
barogaleria.com,0,1,1,5,0,0,0,1,1,0,0,0,1,0,1
fsjames.ca,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
novageracaotransportes.com.br,0,0,1,3,0,0,0,1,1,1,0,0,1,0,1
wuarface.ru:443,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
btiesolutions.com,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1
artsandculturemag.com,0,0,1,5,0,0,0,0,1,1,0,0,1,0,1
surb.madebyhaley.com,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1
atagucsea.com,0,0,1,5,0,0,0,1,1,1,0,0,1,0,1
am-t.by,0,1,1,5,0,0,1,0,1,1,0,0,1,0,1
alojamientoenobera.com.ar,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1
runescape.com-srs.xyz,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
gaughrith.com,0,1,1,6,0,0,0,0,0,1,0,0,1,0,1
thejobnewsupdate.com,0,0,1,5,0,0,0,0,1,1,0,0,1,0,1
ftp.kingdomhotelsupplies.nl,0,0,1,2,0,0,0,1,1,0,0,0,1,0,1
umij.org,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1
identifikatsiya.com,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
viccats.camcam.dns-cloud.net,0,0,1,4,0,0,1,0,0,0,0,0,1,0,1
firebasestorage.googleapis.com,0,0,1,5,0,0,0,1,1,1,0,0,1,0,1
split.to,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
hospitalarpaulista.com.br,0,0,1,5,0,0,0,1,1,1,0,0,1,0,1
quarentenamagazine.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1
flightattendantessentials.com,0,0,1,6,0,0,0,1,1,0,0,0,1,0,1
mikulaskocogas.hu,0,0,0,3,0,0,0,1,1,1,0,0,1,0,1
kensonsitepcrepair.com,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1
firebasestorage.googleapis.com,0,1,1,5,0,0,0,1,1,1,0,0,1,0,1
enorma.is,0,0,1,7,0,0,0,1,1,1,1,0,1,0,1
bestydecor.com,0,0,1,5,0,0,0,0,1,0,1,1,1,1,1
presentedodiadasmaeseaqui.com,0,0,1,2,0,0,0,1,1,1,0,0,1,0,1
eventdofus.com,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
regiscoyne.com,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
kfqp4.pcgaboma.com,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1
passionateminnow.com,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
art-sticker.fr,0,0,1,4,0,0,1,0,0,1,0,0,1,0,1
w2-bb-acesso-online.cloud-fr1.unispace.io,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1
megamagaluon.com,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
mail01.tinyletterapp.com,0,0,1,7,0,0,0,0,1,0,0,0,1,0,1
csknow.clicknkids.com,0,0,1,6,0,0,0,0,1,0,0,0,1,0,1
maximusmovingup.com,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1
tptelecom.it,0,0,1,6,0,0,0,0,0,1,1,0,1,0,1
noutbookofff.ru,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1
prehardenelectronically.com,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
playarprint.com,0,0,1,2,0,0,0,1,1,1,0,0,1,0,1
thelogodept.com,0,0,1,7,0,0,0,0,0,1,0,0,1,0,1
night-kingdom.mysteria.cz,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1
hostpoint.ch.hebetec.ch.p2aexpertise.com,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
